"","IDHH","STATEID","URBAN2011","educ_cat","income_quintile","GROUPS","CI7","CI8","WT","WTn"
"575","0513080701","(05) Uttarakhand 05","(0) rural 0","Middle","Q2","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",2282.20215446,0.372985831128515
"576","0950040201","(09) Uttar Pradesh 09","(0) rural 0","College+","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",9395.7557363,1.53557113927691
"577","2801070301","(28) Andhra Pradesh 28","(0) rural 0","Primary","Q1 (Poorest)","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",3712.14289717,0.606684513491916
"578","0102040301","(01) Jammu & Kashmir 01","(0) rural 0","Secondary","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",3687.92622128,0.602726723439729
"579","0302050301","(03) Punjab 03","(0) rural 0","No education","Q2","(7) Christian, Sikh, Jain 7","(1) A great deal of confidence","(1) A great deal of confidence",2456.30266117,0.401439499033535
"580","1909130301","(19) West Bengal 19","(1) urban 1","College+","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"581","0944010711","(09) Uttar Pradesh 09","(0) rural 0","Secondary","Q3","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",26708.26263102,4.36499611393398
"582","1806100801","(18) Assam 18","(0) rural 0","Higher secondary","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",8026.29875455,1.31175746460547
"583","3206050202","(32) Kerala 32","(1) urban 1","Middle","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",4436.06347306,0.724996608299859
"584","2721040102","(27) Maharashtra 27","(1) urban 1","Secondary","Q5 (Richest)","(2) Forward caste 2","(2) Only some confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"585","0920010101","(09) Uttar Pradesh 09","(1) urban 1","College+","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",6466.85824346,1.05689432113341
"586","1918050201","(19) West Bengal 19","(1) urban 1","College+","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"587","3205050601","(32) Kerala 32","(1) urban 1","Secondary","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(2) Only some confidence",4436.06347306,0.724996608299859
"588","0924071901","(09) Uttar Pradesh 09","(0) rural 0","Primary","Q1 (Poorest)","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",13281.94637538,2.17070069719466
"589","0602051101","(06) Haryana 06","(0) rural 0","Middle","Q3","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",1978.51425577,0.323353381577453
"590","1104050501","(11) Sikkim 11","(1) urban 1","Higher secondary","Q5 (Richest)","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",430.3373494,0.0703310763325346
"591","1806031701","(18) Assam 18","(0) rural 0","Secondary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",13476.25408299,2.20245687693359
"592","3204011101","(32) Kerala 32","(1) urban 1","Middle","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",4436.06347306,0.724996608299859
"593","2909030201","(29) Karnataka 29","(1) urban 1","College+","Q5 (Richest)","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",4741.77914111,0.774960461113599
"594","1909210211","(19) West Bengal 19","(0) rural 0","Secondary","Q3","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",11800.09318214,1.92851783718336
"595","0824051011","(08) Rajasthan 08","(0) rural 0","No education","Q3","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",3461.79247656,0.565769137296116
"596","2905070601","(29) Karnataka 29","(0) rural 0","Middle","Q3","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",861.59948131,0.140813292112743
"597","2731090103","(27) Maharashtra 27","(1) urban 1","Primary","Q5 (Richest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"598","0804031911","(08) Rajasthan 08","(0) rural 0","No education","Q1 (Poorest)","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",2963.14042257,0.484273223168645
"599","2816080902","(28) Andhra Pradesh 28","(1) urban 1","No education","Q4","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",8110.15651136,1.32546254110767
"600","1027080901","(10) Bihar 10","(0) rural 0","Primary","Q2","(6) Muslim 6","(2) Only some confidence","(1) A great deal of confidence",7395.47069837,1.20865970598945
"601","2327030511","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q2","(4) Dalit 4","(1) A great deal of confidence","(2) Only some confidence",5241.40488432,0.85661550763093
"602","3205070201","(32) Kerala 32","(0) rural 0","Higher secondary","Q4","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",6652.18898057,1.08718337281954
"603","2730011211","(27) Maharashtra 27","(0) rural 0","College+","Q2","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",4629.25379544,0.75657017106163
"604","2316010221","(23) Madhya Pradesh 23","(0) rural 0","No education","Q5 (Richest)","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",8866.63682456,1.44909595272279
"605","1911081501","(19) West Bengal 19","(0) rural 0","Primary","Q1 (Poorest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",12130.54209277,1.98252390379581
"606","1601071121","(16) Tripura 16","(0) rural 0","Middle","Q3","(2) Forward caste 2","(1) A great deal of confidence","(1) A great deal of confidence",4873.49998841,0.796487918534989
"607","0968013021","(09) Uttar Pradesh 09","(0) rural 0","No education","Q2","(4) Dalit 4","(2) Only some confidence","(2) Only some confidence",5157.71435613,0.842937761707533
"608","2323021612","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",2990.201386,0.488695862029253
"609","0810010511","(08) Rajasthan 08","(0) rural 0","No education","Q4","(5) Adivasi 5","(1) A great deal of confidence","(1) A great deal of confidence",4497.79342912,0.735085284678317
"610","2818051001","(28) Andhra Pradesh 28","(0) rural 0","Secondary","Q2","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(2) Only some confidence",9594.15760366,1.56799643746976
"611","2920160509","(29) Karnataka 29","(1) urban 1","Secondary","Q3","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",4741.77914111,0.774960461113599
"612","1907010912","(19) West Bengal 19","(0) rural 0","College+","Q2","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",7736.26959744,1.26435729630541
"613","0102061401","(01) Jammu & Kashmir 01","(1) urban 1","Higher secondary","Q5 (Richest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",1844.57654723,0.301463617148998
"614","0903100901","(09) Uttar Pradesh 09","(1) urban 1","No education","Q1 (Poorest)","(6) Muslim 6","(1) A great deal of confidence","(1) A great deal of confidence",6466.85824346,1.05689432113341
"615","2320040211","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",5888.46984127,0.962366902304921
"616","2720021011","(27) Maharashtra 27","(0) rural 0","Middle","Q1 (Poorest)","(5) Adivasi 5","(2) Only some confidence","(2) Only some confidence",7911.36762137,1.2929739908681
"617","2720081401","(27) Maharashtra 27","(0) rural 0","Primary","Q2","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",7111.34158926,1.16222379683824
"618","0205010911","(02) Himachal Pradesh 02","(0) rural 0","Secondary","Q4","(4) Dalit 4","(2) Only some confidence","(3) Hardly any confidence at all",1229.65311523,0.200965189822262
"619","1918050501","(19) West Bengal 19","(1) urban 1","Secondary","Q4","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
"620","1916061201","(19) West Bengal 19","(1) urban 1","Primary","Q3","(2) Forward caste 2","(1) A great deal of confidence","(2) Only some confidence",5775.85751979,0.943962397585457
"621","2721040801","(27) Maharashtra 27","(1) urban 1","College+","Q4","(3) Other Backward Castes (OBC) 3","(2) Only some confidence","(1) A great deal of confidence",9592.3,1.56769284479999
"622","3302090702","(33) Tamil Nadu 33","(1) urban 1","College+","Q4","(4) Dalit 4","(2) Only some confidence","(1) A great deal of confidence",8239.85586393,1.34665962074438
"623","2320041011","(23) Madhya Pradesh 23","(0) rural 0","Primary","Q1 (Poorest)","(3) Other Backward Castes (OBC) 3","(1) A great deal of confidence","(1) A great deal of confidence",5888.46984127,0.962366902304921
"624","3301070311","(33) Tamil Nadu 33","(0) rural 0","Higher secondary","Q3","(4) Dalit 4","(1) A great deal of confidence","(1) A great deal of confidence",35293.18571429,5.76805090692425
"625","1913010301","(19) West Bengal 19","(1) urban 1","College+","Q5 (Richest)","(1) Brahmin 1","(1) A great deal of confidence","(1) A great deal of confidence",5775.85751979,0.943962397585457
